Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,45.615,-79.6342,180.0,top
C1,60.7868,-90.9126,0.0,top
C10,55.6025,-80.2292,270.0,top
C11,55.195,-77.3742,0.0,top
C12,56.802,-80.2352,270.0,top
C13,63.5,-76.5,270.0,top
C14,64.25,-76.5,270.0,top
C15,37.9268,-76.4346,270.0,top
C16,52.495,-83.4742,0.0,top
C17,73.4868,-82.3442,90.0,top
C18,73.4868,-84.5142,90.0,top
C19,53.175,-77.8442,0.0,top
C2,63.22,-89.5557,270.0,top
C22,49.085,-79.7942,90.0,top
C3,65.201,-89.5942,270.0,top
C36,59.035,-77.5742,0.0,top
C37,34.875,-84.7142,270.0,top
C38,41.075,-84.5742,270.0,top
C39,33.675,-84.3942,270.0,top
C4,70.789,-86.1522,0.0,top
C40,39.775,-84.5942,270.0,top
C5,71.375,-81.6942,0.0,top
C6,71.325,-84.0742,0.0,top
C7,68.3306,-77.3744,0.0,top
C8,55.625,-86.7342,0.0,top
C9,55.255,-83.5342,0.0,top
D1,34.0152,-77.8062,180.0,top
D2,50.125,-79.2842,270.0,top
D3,51.655,-79.4142,270.0,top
D4,75.9252,-87.509,180.0,top
J1,53.145,-73.5441,270.0,top
J3,53.145,-93.0443,90.0,top
L1,53.575,-80.2942,270.0,top
LED1,27.716,-76.5362,270.0,top
PWR_LED1,40.225,-87.2942,0.0,top
R1,33.425,-81.2242,180.0,top
R11,34.375,-86.5942,0.0,top
R12,37.785,-88.4042,180.0,top
R14,29.505,-88.9442,270.0,top
R2,50.495,-81.2542,180.0,top
R28,71.175,-82.7232,180.0,top
R3,50.485,-82.1942,180.0,top
R4,32.575,-85.1942,90.0,top
R5,40.9748,-77.4252,180.0,top
R6,57.135,-77.3942,180.0,top
R7,50.8808,-77.6538,180.0,top
R8,48.125,-77.3442,180.0,top
R9,25.7094,-76.7394,270.0,top
RESET1,39.475,-79.5642,0.0,top
U1,63.425396,-83.223309,180.0,top
U3,37.275,-85.1942,0.0,top
U4,46.635,-84.9942,180.0,top
U6,46.625,-84.9442,0.0,bottom
USB1,29.133,-82.8502,270.0,top
X1,76.0522,-83.4842,90.0,top
